One	CD	One
of	IN	of
the	DT	the
great	JJ	great
satisfactions	NNS	satisfaction
of	IN	of
Spectre	NP	<unknown>
is	VBZ	be
that	IN	that
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
all	DT	all
the	DT	the
stirring	JJ	stirring
action	NN	action
,	,	,
and	CC	and
all	PDT	all
the	DT	the
timely	JJ	timely
references	NNS	reference
to	TO	to
a	DT	a
secret	JJ	secret
organization	NN	organization
out	RP	out
to	TO	to
steal	VB	steal
everyone’s	NNS	<unknown>
personal	JJ	personal
information	NN	information
,	,	,
we	PP	we
get	VBP	get
to	TO	to
believe	VB	believe
in	IN	in
Bond	NN	bond
as	IN	as
a	DT	a
person	NN	person
.	SENT	.
