There	EX	there
are	VBP	be
a	DT	a
few	JJ	few
sweet	JJ	sweet
moments	NNS	moment
early	JJ	early
in	IN	in
Jem	NP	Jem
and	CC	and
the	DT	the
Holograms	NNS	Hologram
...	:	...
.	SENT	.
But	CC	but
then	RB	then
the	DT	the
movie	NN	movie
's	POS	's
lumbering	NN	lumbering
,	,	,
overstuffed	VBD	overstuff
,	,	,
unfocused	JJ	unfocused
plot	NN	plot
shows	VBZ	show
up	RP	up
,	,	,
and	CC	and
whatever	WDT	whatever
high	RB	high
hopes	VBZ	hope
we	PP	we
might	MD	might
have	VB	have
had	VBN	have
for	IN	for
this	DT	this
latest	JJS	late
exploitation	NN	exploitation
of	IN	of
1980s	NNS	1980s
nostalgia	NN	nostalgia
are	VBP	be
slowly	RB	slowly
ground	VBN	grind
away	RB	away
.	SENT	.
