Following	VBG	follow
the	DT	the
celebrity	NN	celebrity
guru	NN	guru
into	IN	into
Thailand	NP	Thailand
for	IN	for
his	PP$	his
ordainment	NN	<unknown>
as	IN	as
a	DT	a
Buddhist	NN	Buddhist
monk	NN	monk
,	,	,
the	DT	the
film	NN	film
is	VBZ	be
at	IN	at
its	PP$	its
best	JJS	good
when	WRB	when
Gotham	NP	Gotham
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
see	VB	see
through	IN	through
his	PP$	his
father	NN	father
,	,	,
who	WP	who
seems	VBZ	seem
entirely	RB	entirely
restless	JJ	restless
without	IN	without
an	DT	an
audience	NN	audience
and	CC	and
a	DT	a
smartphone	NN	<unknown>
through	IN	through
which	WDT	which
to	TO	to
be	VB	be
reminded	VBN	remind
of	IN	of
their	PP$	their
adoration	NN	adoration
of	IN	of
him	PP	him
.	SENT	.
