When	WRB	when
Mel	NP	Mel
Brooks	NP	Brooks
checks	VBZ	check
in	IN	in
to	TO	to
play	VB	play
Dracula	NP	Dracula
's	POS	's
dad	NN	dad
,	,	,
harrumphing	VBG	harrumph
and	CC	and
looking	VBG	look
exactly	RB	exactly
like	IN	like
Grandpa	NP	<unknown>
Munster	NP	Munster
,	,	,
you	PP	you
realize	VBP	realize
Sandler	NP	Sandler
and	CC	and
Co.	NP	Co.
are	VBP	be
n't	RB	n't
trying	VBG	try
any	DT	any
harder	JJR	hard
than	IN	than
they	PP	they
did	VBD	do
in	IN	in
Jack	NP	Jack
and	CC	and
Jill	NP	Jill
or	CC	or
Pixels	NP	<unknown>
.	SENT	.
