Even	RB	even
without	IN	without
the	DT	the
current	JJ	current
headlines	NNS	headline
,	,	,
United	NP	United
Passions	NP	<unknown>
is	VBZ	be
a	DT	a
disgrace	NN	disgrace
.	SENT	.
It�s	NNS	<unknown>
less	RBR	less
a	DT	a
movie	NN	movie
than	IN	than
preposterous	JJ	preposterous
self-hagiography	NN	<unknown>
,	,	,
more	RBR	more
appropriate	JJ	appropriate
for	IN	for
Scientology	NP	Scientology
or	CC	or
the	DT	the
Rev	NP	Rev
Sun	NP	Sun
Myung	NP	Myung
Moon	NP	Moon
.	SENT	.
As	IN	as
cinema	NN	cinema
it	PP	it
is	VBZ	be
excrement	NN	excrement
.	SENT	.
As	IN	as
proof	NN	proof
of	IN	of
corporate	JJ	corporate
insanity	NN	insanity
it	PP	it
is	VBZ	be
a	DT	a
valuable	JJ	valuable
case	NN	case
study	NN	study
.	SENT	.
