When	WRB	when
the	DT	the
lights	NNS	light
come	VBP	come
up	RP	up
,	,	,
you	PP	you
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
feel	VB	feel
like	IN	like
you	PP	you
've	VBP	have
watched	VBN	watch
a	DT	a
­better	NN	<unknown>
Cliffhanger	NP	<unknown>
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
understand	VB	understand
the	DT	the
tragedy	NN	tragedy
you	PP	you
've	VBP	have
just	RB	just
watched	VBN	watch
.	SENT	.
Yes	UH	yes
,	,	,
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
entertained	VBN	entertain
,	,	,
but	CC	but
you	PP	you
also	RB	also
want	VBP	want
the	DT	the
icy	JJ	icy
,	,	,
whipping	JJ	whipping
wind	NN	wind
of	IN	of
reality	NN	reality
to	TO	to
sting	VB	sting
.	SENT	.
