Straight	JJ	straight
Outta	NP	<unknown>
Compton	NP	Compton
does	VBZ	do
n't	RB	n't
shy	VB	shy
entirely	RB	entirely
from	IN	from
the	DT	the
uglier	JJR	ugly
side	NN	side
of	IN	of
the	DT	the
N.W.A.	NP	<unknown>
story	NN	story
,	,	,
including	VBG	include
the	DT	the
claims	NNS	claim
that	IN	that
their	PP$	their
music	NN	music
and	CC	and
their	PP$	their
lifestyles	NNS	lifestyle
glorified	VBD	glorify
thug	NN	thug
life	NN	life
,	,	,
perpetuated	VBD	perpetuate
gun	NN	gun
violence	NN	violence
,	,	,
advocated	VBN	advocate
drug	NN	drug
use	NN	use
and	CC	and
reveled	VBN	revel
in	IN	in
misogyny	NN	misogyny
.	SENT	.
Instead	RB	instead
,	,	,
Gray	NP	Gray
's	POS	's
film	NN	film
owns	VBZ	own
it	PP	it
.	SENT	.
