Save	VB	save
for	IN	for
a	DT	a
few	JJ	few
inspired	JJ	inspired
moments	NNS	moment
(	(	(
usually	RB	usually
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
the	DT	the
city	NN	city
of	IN	of
Fresno	NP	Fresno
)	)	)
,	,	,
Jamie	NP	Jamie
Babbit�s	NP	<unknown>
screwball	JJ	screwball
comedy	NN	comedy
is	VBZ	be
cringe-inducing	JJ	<unknown>
and	CC	and
unfunny	JJ	unfunny
.	SENT	.
Everyone	NN	Everyone
in	IN	in
front	NN	front
of	IN	of
the	DT	the
camera	NN	camera
here	RB	here
deserves	VBZ	deserve
better	JJR	good
,	,	,
particular	JJ	particular
Judy	NP	Judy
Greer	NP	Greer
in	IN	in
a	DT	a
rare	JJ	rare
starring	VBG	star
role	NN	role
.	SENT	.
