What	WP	What
keeps	VBZ	keep
Sicario	NP	<unknown>
from	IN	from
cynicism	NN	cynicism
is	VBZ	be
the	DT	the
nature	NN	nature
and	CC	and
depth	NN	depth
of	IN	of
Villeneuve	NP	Villeneuve
's	POS	's
gaze	NN	gaze
,	,	,
not	RB	not
childishly	RB	childishly
wide-eyed	JJ	wide-eyed
but	CC	but
capable	JJ	capable
still	RB	still
of	IN	of
feeling	VBG	feel
pain	NN	pain
.	SENT	.
He	PP	he
's	VBZ	be
a	DT	a
terrific	JJ	terrific
director	NN	director
.	SENT	.
You	PP	you
know	VBP	know
that	IN	that
if	IN	if
his	PP$	his
heroine	NN	heroine
,	,	,
Alice	NP	Alice
,	,	,
gets	VBZ	get
out	RP	out
of	IN	of
Cartel-land	NP	<unknown>
alive	JJ	alive
,	,	,
she	PP	she
might	MD	might
spend	VB	spend
a	DT	a
few	JJ	few
months	NNS	month
in	IN	in
an	DT	an
asylum	NN	asylum
,	,	,
but	CC	but
she	PP	she
'll	MD	will
be	VB	be
back	RB	back
,	,	,
hell-bent	NN	hell-bent
on	IN	on
seizing	VBG	seize
the	DT	the
foreground	NN	foreground
.	SENT	.
