A	DT	a
mildly	RB	mildly
entertaining	JJ	entertaining
but	CC	but
well	RB	well
acted	VBN	act
,	,	,
sumptuously	RB	sumptuously
photographed	VBN	photograph
and	CC	and
smartly	RB	smartly
written	VBN	write
comedy	NN	comedy
with	IN	with
dark	JJ	dark
undertones	NNS	undertone
about	IN	about
culinary	JJ	culinary
addiction	NN	addiction
that	WDT	that
can	MD	can
only	RB	only
be	VB	be
called	VBN	call
“	NN	<unknown>
delicious	JJ	delicious
.	SENT	.
”	NN	<unknown>
See	VB	see
it	PP	it
and	CC	and
then	RB	then
check	VB	check
your	PP$	your
cholesterol	NN	cholesterol
.	SENT	.
