One	PP	one
would	MD	would
n't	RB	n't
expect	VB	expect
A	DT	a
Walk	VBP	walk
In	IN	in
The	DT	the
Woods	NP	Woods
to	TO	to
be	VB	be
a	DT	a
rat-a-tat-tat	NN	rat-a-tat-tat
1930s	NNS	1930s
comedy	NN	comedy
,	,	,
but	CC	but
between	IN	between
the	DT	the
stars	NNS	star
'	POS	'
rusty	JJ	rusty
comic	JJ	comic
timing	NN	timing
and	CC	and
the	DT	the
script	NN	script
's	POS	's
stale	JJ	stale
setups	NNS	setup
,	,	,
the	DT	the
movie	NN	movie
simply	RB	simply
is	VBZ	be
n't	RB	n't
that	DT	that
funny	JJ	funny
,	,	,
more	RBR	more
likely	JJ	likely
to	TO	to
produce	VB	produce
a	DT	a
smile	NN	smile
than	IN	than
even	RB	even
a	DT	a
chuckle	NN	chuckle
.	SENT	.
