% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'the mountain , grim and unforgive , remain the star . ',positive
'base on true event , fill with stunning visual and feature more than a half-dozen of our good actor deliver solid performance , Baltasar <unknown> Everest be a high-altitude roller coaster ride that will leave you drain . ',positive
'like the mountain for which <unknown> name , Everest be rock solid . <unknown> big , <unknown> beautiful , <unknown> terrifying , and <unknown> merciless to both its character and the audience . ',positive
'it be a damn good movie . ',positive
'classily and classically craft in the good sense by director John Crowley and screenwriter Nick Hornby , this superbly act romantic drama be set in the early 1950s and provide the feeling of be lift into a different world altogether , so transport be the <unknown> sense of time and place and social mores . ',positive
'Director Baltasar <unknown> ( 2 gun ) essentially make a faux documentary with big star and good lighting . ',positive
'anchor by another great turn from Matt Damon , the Martian mix smart , laugh , weird character bit and tension on a huge canvas . the result be <unknown> most purely enjoyable film for age . ',positive
'singular and stunning . ',positive
'there be no winner here . maybe <unknown> cynical , or maybe <unknown> true . but <unknown> a bleak and sometimes powerful message that Villeneuve deliver with blunt force . ',positive
'with a few self-conscious exception , Soderbergh make an earnest attempt to return to that place and time in both history and American filmmak , and his risk-taking pay fascinating dividend . ',positive
'no movie could capture all the alarming incident and contradiction that make up the complete <unknown> story . but in order to stress the <unknown> most righteous side , the movie downplay their youthful excess as well as their flagrant sexism . ',positive
'Carol be one of the great American screen romance of any era , period <unknown> and perhaps that serve as the ultimate vindication of <unknown> outspoken commitment to <unknown> <unknown> ',positive
'truth also ignore <unknown> famous <unknown> , pettiness and hubris . <unknown> work in lower-profile gig since , but trust me , <unknown> a good reason why no news organization will touch Mapes with a <unknown> pole . ',positive
'it play like a Marvel superhero movie have Marvel be run by <unknown> Knight . ',positive
'even with his glossy new look , Charlie Brown remain the Charlie <unknown> . ',positive
'Crowley wisely keep Ronan center stage and often in close-up . she let us feel the pain of leave-taking , the depression of homesickness in that <unknown> age , the dilemma of first love , and maybe second love , overlap , the pull of the familiar vs. the hope of the new and different . ',positive
'a <unknown> key than Wallace and <unknown> or <unknown> , but tightly pack with charm ',positive
'Blanchett give this dynamo of intelligence and doggedness a real human dimension that allow the propulsive drama to breathe ; <unknown> another stellar performance that rate among her good . ',positive
'What make the Martian work be Damon . ',positive
'Black Mass , a down and dirty crime drama base on the exploit of Boston gangster James Whitey Bulger , be thrill for a number of reason . ',positive
'as breathtakingly gorgeous and well act as the walk be , if you have to choose between the doc and this solid fictionalize version , <unknown> say go with the documentary . ',positive
'there be only one star in this movie : Everest . <unknown> could n\'t shoot high than base camp , around @card@ foot , without sicken the actor . but a crew travel to the top to get footage , while much of the climb be shoot in the <unknown> . no matter . you watch Everest and you believe . ',positive
'Shaun the Sheep Movie deliver exactly what it promise : the cut , most innocuous entertainment this side of Internet panda video . ',positive
'it be sophisticated yet innocent , and while always accessible for young fan it never suffer from a lack of dialogue , with the straightforward and breezy story easy to follow and fun to enjoy . ',positive
'at its heart , the Martian be an unapologetically stirring celebration of our ability , as a species , to solve even the most daunting problem via rational thought , step by step by step . <unknown> basically Human <unknown> : the movie . ',positive
'<unknown> a more subtle , damn film for implicate the medium <unknown> as much as the church , the court , the legal profession and other Boston institution <unknown> in the systematic , wide cultural cover-up it describe . ',positive
'[ An ] enormously entertaining movie . ',positive
'there be , in other word , nothing new in hellion that you ca n\'t get already in early , more ambitious horror film . but McDonald deliver an effective <unknown> tale , and he do it with enough avant garde flair to show viewer that temper their expectation a good time . ',positive
'brilliantly act by the <unknown> most carefully assemble cast , <unknown> be one of the <unknown> good film , show just how hard it be to uncover painful truth . ',positive
'the voice work be <unknown> - the child actor , none of whom have play these part before and many of whom have limit professional experience , nail their character . they sound just like we expect them to sound . ',positive
'the walk be broadly write with two clunky first act that be save , arguably supersede entirely , by its nerve-wracking , majestic and spectacular finish . ',positive
'there have be plenty of mountaineer documentary over the last few year , and Everest suffer in comparison to them simply by be a dramatization . as realistic as the effect be ( and you can occasionally tell when a shot be <unknown> ) , you be still aware on a gut level that Jason Clarke and Josh <unknown> be not actually film at @card@ foot above sea level . ',positive
'the keenly focus intelligence and <unknown> intensity that James Vanderbilt demonstrate in his screenplay for <unknown> be on impressive display in <unknown> . ',positive
'Haynes \' commitment to outcast , then and now , make Carol a romantic spellbinder that cut deep . it be one of the year \'s very good film . ',positive
'a nuanced tale of mutual attraction that reflect a filmmaker and cast operate at the height of their power , render complex circumstance in strikingly personal term . ',positive
'a narrative feature can do what the documentary <unknown> : re-create the tightrope act in full , glorious motion , rather than edit together surreptitiously snap photo . these dizzying Imax <unknown> visual truly be big-screen magic . ',positive
'Brooklyn balance its melodramatic leaning with several light touch . ',positive
'Kaufman and fellow director Duke Johnson strike the right balance here , deftly mix spiritual crisis and despondency with moment of painful awkwardness and biting hilarity . ',positive
'the walk be a visionary high-wire act . ',positive
'it succeed wonderfully , offer moviegoer a rare taste of rarify air -- and as compel an argument as you can make for see a movie writ large on the oversized screen of an actual movie theater . ',positive
'both of its time and of the moment , Straight <unknown> Compton be potent and largely successful , and make a hell of a case for why this be a story worth tell . ',positive
'those who go to a Villeneuve production , <unknown> include , must be prepare for intense suspense , moral ambiguity , and an ending that do n\'t conform to Hollywood norm . ',positive
'the film basically uphold the verity of the news story while not condone the sloppiness , and <unknown> worth see mostly for Cate <unknown> firebrand performance as Mapes , a battler consume by righteousness . ',positive
'after two hour of the walk , I feel as if <unknown> walk the wire myself . I be agitate and exhaust . during the movie , I be squirm and wince , and a few time even have to close my eye , just to find some relief . ',positive
'when the light come up , you <unknown> want to feel like <unknown> watch a <unknown> <unknown> . you want to understand the tragedy <unknown> just watch . yes , you want to be entertain , but you also want the icy , whipping wind of reality to sting . ',positive
'if <unknown> do not collapse under its own grimness , that be because of the pulse : the care with which Villeneuve keep the story beating , like a drum , as he steady himself for the next set piece . ',positive
'beyond its surface pleasure , <unknown> Peak also confront the demon of modern entertainment . the movie frighten and surprise us in familiar way , but at the same time issue a plea for restraint . ',positive
'Black Mass be a tightly wind piece of work , and Cooper ( Crazy Heart , out of the Furnace ) keep its many small part move with ease . he be skillful at merge telling , minute detail with big , loop scheme . ',positive
'while most other film sprint through expository dialogue , and bluster their way through action scene , the last <unknown> Hunter be measure enough to make you want to suspend your disbelief . ',positive
'debut director James Vanderbilt ( who write <unknown> ) have a great sense of forward motion and wring suspense from an <unknown> story . ',positive
'<unknown> be a <unknown> thrill ride through Dick <unknown> <unknown> Park on the Dark Side , with an enjoyable cast head by Blunt , Josh <unknown> as a <unknown> but oddly sinister secret agent in flip-flop and <unknown> Del Toro as a person of uncertain provenance ( be he Mexican ? be he Colombian ? be he CIA ? ) who be approximately the scary guy ever . ',positive
'Beers \' screenplay manage to sustain the outrageous scenario with a string of joke that do n\'t take the underlie goofiness for grant . instead , the writer-director build on its crass foundation with constant inspired one-liner . ',positive
'despite the cerebral formalism that push it forward , <unknown> have make a genuine tearjerker . ',positive
'Haynes have pull off something remarkable here , without a trace of wink or archness . <unknown> be a long time since the movie have see a fuse of pure ardor burn this slowly and steadily , lead to such an unexpectedly move explosion of resolve . ',positive
'if <unknown> be undeniably of the moment , <unknown> also timeless in its depiction of how artist and writer transform the world around them into angry , profane , vibrant and singular personal expression . ',positive
'crackle with energy and fizz with idea , this fresh take on Frankenstein be a thrilling adaptation that reinvigorate a well-worn tale . ',positive
'<unknown> be at its good when its borderline be fluid and indistinct . ',positive
'a fairly good , extremely gruel movie as far as it go <unknown> track the true-life fortune of a battered group of climber to the high place on Earth . yet somehow it do n\'t go far enough . ',positive
'a heartbreaking and poignant story about choice , country , commitment , sacrifice , and love , Brooklyn be a superb , luminous , and bittersweet portrayal of who we be , where <unknown> come from , where <unknown> going , and the place we call home . ',positive
'Crowley and his creative team <unknown> cinematographer Yves <unknown> , designer <unknown> <unknown> , composer Michael Brook , costume designer Odile <unknown> <unknown> build a cinematic <unknown> of nostalgia , a portrait of two world that ache with family lose and freedom find . it be a beautiful film to experience . ',positive
'though realize on a more modest scale than other <unknown> feature , the film be still an absolute delight in term of set and character design , with sophisticated <unknown> detail to counterbalance the <unknown> crude visual trademark . ',positive
'a charming and clever concoction . ',positive
'I be not sure if leaven be the right word , but <unknown> , as an enigmatic U.S. agent with a world-weary cynicism and a <unknown> <unknown> , provide at least a dose of ( very ) dark humor to the proceeding . ',positive
'it be one of the most satisfying film of @card@ . ',positive
'tautly direct by Tom McCarthy ( The <unknown> ) , the film hum as a tense shoe-leather procedural and a heartbreaking morality play that handle personal storey respectfully without lose sight of the big , more damn picture . ',positive
'the sound never lose its urgency , its sense of immediate danger , straight through to the close shot of the film . ',positive
'the film dare its viewer to consider <unknown> a couple of hour , at <unknown> when a thing seem too good to be true , it might not be . ',positive
'Black Mass be like a <unknown> of great hit from other , good movie . ',positive
'the film prove <unknown> in both style and attitude <unknown> a successful bridge between the old and the new , and one that , no matter its emotional slimness , ultimately never lose sight of the fretful angst with which all kid must , at some point , contend . ',positive
'in Spanish , <unknown> mean hitman . in film term , <unknown> be sensational , the most gripping and <unknown> spin through America \'s covert war on drug since Steven Soderbergh \'s traffic @card@ year ago . ',positive
'the magic of Brooklyn <unknown> be analyze , but something in the richness of its relationship put an essential truth before us <unknown> the brevity and immensity of life . we know all about that , of course , but <unknown> the beauty of great art : it take what you already know and make you feel it . ',positive
'straight <unknown> Compton be a hugely entertaining film that work good if you <unknown> look at it too closely and just listen . ',positive
'this landmark film take a clear-eyed look at the digital future and honor the one constant that journalism need to stay alive and relevant : a fight spirit . ',positive
'<unknown> existence be a minor miracle on multiple level , from the <unknown> campaign that fund it ( the credit give <unknown> <unknown> to @card@ name ) to the <unknown> way the film creep up on you , <unknown> from a low-key dark night of the soul into something warm , human and surprisingly tender . ',positive
'Blanchett , a commanding figure who scowl her way through every argument , give Mapes an involve screen presence that elaborate on the character \'s staunch resolve much well than the straightforward script . ',positive
'a robust romantic drama , rich in history and full of emotion , Brooklyn fill a niche in which the studio once specialize , use a well-read and respected novel as the ground for a tenderly observed tearjerker . ',positive
'this be a wonderfully odd consideration of those question about love , pain , solitude and human connection we all ask ; its emotional power creep out from under the subtle humor and leave a subcutaneous imprint that linger long after the movie be over . ',positive
'spotlight be a rare movie about the profession <unknown> and just enough about people in it <unknown> that simply feel right , speak from the inside . ',positive
'even high expectation <unknown> quite prepare you for the startling impact of Carol , an exquisitely draw , deeply feel love story that tease out every shadow and nuance of its <unknown> inner life with supreme intelligence , breathtaking poise and filmmak craft of the most sophisticated yet accessible order . ',positive
'a lot of the information in the Martian will be incomprehensible to the lay audience and the climax <unknown> , not exactly original . but it make for one hell of an entertaining ride . ',positive
'the opening of <unknown> unfold at such an <unknown> pitch that it seem impossible for Villeneuve to sustain it , let alone build on it , but somehow he manage to do just that . <unknown> a master of the kind of creep tension that coil around the audience like a snake suffocate its prey . ',positive
