Entertaining	VBG	entertain
as	IN	as
the	DT	the
movie	NN	movie
often	RB	often
is	VBZ	be
,	,	,
this	DT	this
all-American	NN	<unknown>
,	,	,
can-do	NN	<unknown>
attitude	NN	attitude
is	VBZ	be
also	RB	also
the	DT	the
source	NN	source
of	IN	of
its	PP$	its
shortcomings	NNS	shortcoming
.	SENT	.
Given	VBN	give
the	DT	the
enormousness	NN	enormousness
of	IN	of
its	PP$	its
subject	NN	subject
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
radical	JJ	radical
lack	NN	lack
of	IN	of
awe	NN	awe
in	IN	in
this	DT	this
movie	NN	movie
.	SENT	.
