Green	NP	Green
,	,	,
who	WP	who
once	RB	once
had	VBD	have
a	DT	a
solid	JJ	solid
and	CC	and
arty	JJ	arty
indy	NN	<unknown>
cinema	NN	cinema
career	NN	career
going	VBG	go
,	,	,
cannot	MD	can
for	IN	for
the	DT	the
life	NN	life
of	IN	of
him	PP	him
hit	VBD	hit
the	DT	the
right	JJ	right
tone	NN	tone
,	,	,
here	RB	here
.	SENT	.
The	DT	the
film	NN	film
is	VBZ	be
waterlogged	JJ	waterlogged
when	WRB	when
it	PP	it
should	MD	should
be	VB	be
jaunty	JJ	jaunty
,	,	,
and	CC	and
the	DT	the
cynicism	NN	cynicism
and	CC	and
the	DT	the
sentimentality	NN	sentimentality
are	VBP	be
kept	VBN	keep
at	IN	at
arm’s	NN	<unknown>
length	NN	length
.	SENT	.
