There	EX	there
are	VBP	be
certainly	RB	certainly
enough	RB	enough
dopey	JJ	dopey
diversions	NNS	diversion
here	RB	here
for	IN	for
The	DT	the
Last	JJ	last
Witch	NP	<unknown>
Hunter	NP	Hunter
to	TO	to
be	VB	be
considerably	RB	considerably
more	JJR	more
fun	NN	fun
than	IN	than
it	PP	it
is	VBZ	be
,	,	,
but	CC	but
even	RB	even
its	PP$	its
most	RBS	most
extravagant	JJ	extravagant
bouts	NNS	bout
of	IN	of
silliness	NN	silliness
are	VBP	be
hampered	VBN	hamper
by	IN	by
desultory	JJ	desultory
plotting	VBG	plot
and	CC	and
Eisner	NP	Eisner
's	POS	's
oppressively	RB	oppressively
synthetic	JJ	synthetic
mise-en-scene	NN	<unknown>
.	SENT	.
