There	EX	there
may	MD	may
well	RB	well
be	VB	be
new	JJ	new
and	CC	and
novel	JJ	novel
ways	NNS	way
to	TO	to
spark	VB	spark
audience	NN	audience
shivers	NNS	shiver
from	IN	from
not-so-bright	JJ	<unknown>
homeowners	NNS	homeowner
inexplicably	RB	inexplicably
using	VBG	use
their	PP$	their
cameraphones	NNS	<unknown>
to	TO	to
check	VB	check
out	RP	out
bumps	NNS	bump
in	IN	in
the	DT	the
night	NN	night
,	,	,
but	CC	but
this	DT	this
series	NN	series
clearly	RB	clearly
has	VBZ	have
neither	RB	neither
the	DT	the
patience	NN	patience
nor	CC	nor
the	DT	the
inclination	NN	inclination
to	TO	to
look	VB	look
for	IN	for
them	PP	them
anymore	RB	anymore
.	SENT	.
