Its	PP$	its
aspirations	NNS	aspiration
to	TO	to
high-end	JJ	high-end
production	NN	production
values	NNS	value
and	CC	and
the	DT	the
inventive	JJ	inventive
use	NN	use
of	IN	of
urban	JJ	urban
cityscapes	NNS	cityscape
filmed	VBN	film
from	IN	from
carefully	RB	carefully
selected	VBN	select
futuristic	JJ	futuristic
angles	NNS	angle
are	VBP	be
all	RB	all
very	RB	very
well	RB	well
,	,	,
but	CC	but
it	PP	it
could	MD	could
have	VB	have
done	VBN	do
with	IN	with
something	NN	something
a	DT	a
little	RB	little
looser	JJR	loose
,	,	,
more	JJR	more
punk	NN	punk
,	,	,
more	RBR	more
grimy	JJ	grimy
,	,	,
more	RBR	more
stoned	VBN	stone
.	SENT	.
