Ritchie	NP	Ritchie
is	VBZ	be
a	DT	a
director	NN	director
with	IN	with
no	DT	no
instinct	NN	instinct
for	IN	for
the	DT	the
audience	NN	audience
,	,	,
and	CC	and
he	PP	he
can’t	VBD	<unknown>
hold	VB	hold
things	NNS	thing
together	RB	together
for	IN	for
an	DT	an
entire	JJ	entire
film	NN	film
.	SENT	.
He	PP	he
seems	VBZ	seem
at	IN	at
a	DT	a
loss	NN	loss
,	,	,
from	IN	from
moment	NN	moment
to	TO	to
moment	NN	moment
,	,	,
as	IN	as
to	TO	to
what	WP	what
he	PP	he
should	MD	should
emphasize	VB	emphasize
.	SENT	.
