Substitute	VB	substitute
a	DT	a
cat	NN	cat
for	IN	for
the	DT	the
bunny	NN	bunny
(	(	(
no	DT	no
spoilers	NNS	spoiler
here	RB	here
about	IN	about
its	PP$	its
fate	NN	fate
)	)	)
and	CC	and
you	PP	you
have	VBP	have
the	DT	the
ironically	RB	ironically
titled	VBN	title
,	,	,
generic	JJ	generic
thriller	NN	thriller
The	DT	the
Perfect	NP	Perfect
Guy	NP	Guy
that	WDT	that
somehow	RB	somehow
wound	VBD	wind
up	RP	up
on	IN	on
the	DT	the
big	JJ	big
screen	NN	screen
instead	RB	instead
of	IN	of
on	IN	on
Lifetime	NP	<unknown>
.	SENT	.
