Using	VBG	use
a	DT	a
screenplay	NN	screenplay
polished	VBN	polish
and	CC	and
honed	VBN	hone
by	IN	by
the	DT	the
Coen	NP	Coen
Brothers	NPS	Brothers
,	,	,
Spielberg	NP	Spielberg
dips	NNS	dip
into	IN	into
John	NP	John
le	FW	le
Carré	NP	<unknown>
territory	NN	territory
(	(	(
you	PP	you
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
think	VB	think
of	IN	of
The	DT	the
Spy	NP	Spy
Who	WP	who
Came	VBZ	<unknown>
in	IN	in
From	IN	from
the	DT	the
Cold	NP	Cold
when	WRB	when
Donovan	NP	Donovan
looks	VBZ	look
onto	IN	onto
the	DT	the
newly	RB	newly
erected	VBN	erect
Berlin	NP	Berlin
Wall	NP	Wall
,	,	,
in	IN	in
the	DT	the
searchlights	NNS	searchlight
,	,	,
in	IN	in
the	DT	the
snow)	NN	<unknown>
.	SENT	.
