While	IN	while
Dirty	NP	<unknown>
Weekend	NP	Weekend
may	MD	may
not	RB	not
quite	RB	quite
live	VB	live
up	RP	up
to	TO	to
its	PP$	its
title	NN	title
and	CC	and
is	VBZ	be
certainly	RB	certainly
his	PP$	his
least	JJS	least
tart	JJ	tart
effort	NN	effort
to	TO	to
date	NN	date
,	,	,
the	DT	the
film	NN	film
's	POS	's
milder	JJR	mild
flavor	NN	flavor
and	CC	and
less	JJR	less
acidic	JJ	acidic
aftertaste	NN	aftertaste
is	VBZ	be
mostly	RB	mostly
a	DT	a
pleasurable	JJ	pleasurable
switchup	NN	<unknown>
.	SENT	.
