There	EX	there
's	VBZ	be
nothing	NN	nothing
surprising	JJ	surprising
in	IN	in
Spectre	NP	<unknown>
,	,	,
the	DT	the
24th	JJ	24th
official	NN	official
title	NN	title
in	IN	in
the	DT	the
series	NN	series
,	,	,
which	WDT	which
is	VBZ	be
presumably	RB	presumably
as	RB	as
planned	VBN	plan
.	SENT	.
Much	RB	much
as	IN	as
the	DT	the
perfect	NN	perfect
is	VBZ	be
the	DT	the
enemy	NN	enemy
of	IN	of
good	JJ	good
,	,	,
originality	NN	originality
is	VBZ	be
often	RB	often
the	DT	the
enemy	NN	enemy
of	IN	of
the	DT	the
global	JJ	global
box	NN	box
office	NN	office
.	SENT	.
