It	PP	it
's	VBZ	be
not	RB	not
as	RB	as
terrible	JJ	terrible
as	IN	as
the	DT	the
premise	NN	premise
suggests	VBZ	suggest
,	,	,
thanks	NNS	thank
to	TO	to
some	DT	some
flourishes	NNS	flourish
on	IN	on
Joseph	NP	Joseph
's	POS	's
part	NN	part
and	CC	and
an	DT	an
intriguing	JJ	intriguing
performance	NN	performance
by	IN	by
Wes	NP	Wes
Bentley	NP	Bentley
.	SENT	.
Efron	NP	Efron
's	VBZ	be
absurdly	RB	absurdly
winning	VBG	win
persona	NN	persona
does	VBZ	do
n't	RB	n't
hurt	VB	hurt
,	,	,
either	RB	either
.	SENT	.
