Films	NNS	film
do	VBP	do
n't	RB	n't
get	VB	get
much	RB	much
dreggier	JJR	dreggy
than	IN	than
No	DT	no
Escape	NP	<unknown>
,	,	,
a	DT	a
dreadful	JJ	dreadful
and	CC	and
creepily	RB	creepily
exploitative	JJ	exploitative
would-be	JJ	would-be
thriller	NN	thriller
,	,	,
low-grade	NN	low-grade
trash	NN	trash
that	IN	that
it	PP	it
is	VBZ	be
too	RB	too
silly	JJ	silly
and	CC	and
stupid	JJ	stupid
to	TO	to
be	VB	be
as	RB	as
offensive	JJ	offensive
as	IN	as
it	PP	it
frequently	RB	frequently
comes	VBZ	come
close	VB	close
to	TO	to
being	VBG	be
throughout	IN	throughout
.	SENT	.
