What	WP	What
follows	VBZ	follow
is	VBZ	be
a	DT	a
decently	RB	decently
structured	VBN	structure
story	NN	story
of	IN	of
personal	JJ	personal
demons	NNS	demon
and	CC	and
culinary	JJ	culinary
competition	NN	competition
,	,	,
with	IN	with
a	DT	a
couple	NN	couple
of	IN	of
nice	JJ	nice
twists	NNS	twist
thrown	VBN	throw
in	IN	in
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
built	VBN	build
with	IN	with
materials	NNS	material
that	IN	that
at	IN	at
this	DT	this
point	NN	point
in	IN	in
the	DT	the
life	NN	life
cycle	NN	cycle
of	IN	of
this	DT	this
genre	NN	genre
are	VBP	be
mighty	RB	mighty
shopworn	JJ	shopworn
.	SENT	.
