Recreating	VBG	recreate
the	DT	the
crime	NN	crime
for	IN	for
The	DT	the
Walk	NP	Walk
,	,	,
director	NN	director
Robert	NP	Robert
Zemeckis	NP	Zemeckis
does	VBZ	do
a	DT	a
crackerjack	JJ	crackerjack
job	NN	job
with	IN	with
the	DT	the
thrills	NNS	thrill
and	CC	and
a	DT	a
so-so	JJ	so-so
one	CD	one
with	IN	with
the	DT	the
laughs	NNS	laugh
(	(	(
at	IN	at
least	JJS	least
the	DT	the
intentional	JJ	intentional
ones	NNS	one
)	)	)
and	CC	and
skips	VBZ	skip
the	DT	the
deeper	JJR	deep
magic	NN	magic
altogether	RB	altogether
.	SENT	.
