Hitman	NP	hitman
:	:	:
Agent	NN	agent
47	CD	@card@
is	VBZ	be
aggressively	RB	aggressively
awful	JJ	awful
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
film	NN	film
that	WDT	that
rubs	VBZ	rub
its	PP$	its
lackadaisical	JJ	lackadaisical
screenwriting	NN	screenwriting
,	,	,
dull	JJ	dull
filmmaking	VBG	filmmak
and	CC	and
boring	VBG	bore
characters	NNS	character
in	IN	in
your	PP$	your
face	NN	face
,	,	,
almost	RB	almost
daring	VBG	dare
you	PP	you
to	TO	to
ask	VB	ask
the	DT	the
theater	NN	theater
operator	NN	operator
for	IN	for
your	PP$	your
money	NN	money
back	RB	back
.	SENT	.
