It	PP	it
consists	VBZ	consist
of	IN	of
a	DT	a
series	NN	series
of	IN	of
episodic	JJ	episodic
encounters	NNS	encounter
,	,	,
misadventures	NNS	misadventure
,	,	,
and	CC	and
musings	NNS	musing
redeemed	VBN	redeem
in	IN	in
part	NN	part
by	IN	by
the	DT	the
presence	NN	presence
of	IN	of
two	CD	two
scenic	JJ	scenic
wonders	NNS	wonder
,	,	,
the	DT	the
unspoiled	JJ	unspoiled
2,190-mile	JJ	<unknown>
grandeur	NN	grandeur
of	IN	of
the	DT	the
Appalachian	NP	Appalachian
Trail	NP	Trail
and	CC	and
the	DT	the
spectacular	JJ	spectacular
crapulousness	NN	<unknown>
of	IN	of
Nick	NP	Nick
Nolte	NP	Nolte
.	SENT	.
