Gordon	NP	Gordon
is	VBZ	be
an	DT	an
eclectic	JJ	eclectic
director	NN	director
,	,	,
and	CC	and
he	PP	he
has	VBZ	have
trouble	NN	trouble
with	IN	with
the	DT	the
tone	NN	tone
here	RB	here
.	SENT	.
It	PP	it
's	VBZ	be
not	RB	not
that	DT	that
cynicism	NN	cynicism
ca	MD	ca
n't	RB	n't
evolve	VB	evolve
into	IN	into
something	NN	something
more	RBR	more
useful	JJ	useful
in	IN	in
film	NN	film
.	SENT	.
It	PP	it
's	VBZ	be
that	IN	that
the	DT	the
reasons	NNS	reason
should	MD	should
be	VB	be
more	RBR	more
convincing	JJ	convincing
.	SENT	.
