One	CD	One
of	IN	of
the	DT	the
most	RBS	most
tedious	JJ	tedious
apocalypses	NNS	apocalypse
to	TO	to
come	VB	come
down	RP	down
the	DT	the
chute	NN	chute
in	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
this	DT	this
series	NN	series
gets	VBZ	get
lamer	JJR	lame
,	,	,
and	CC	and
lazier	JJR	lazy
,	,	,
with	IN	with
each	DT	each
entry	NN	entry
.	SENT	.
The	DT	the
only	JJ	only
‘	NN	<unknown>
Trial	NN	trial
’	NN	<unknown>
offered	VBN	offer
by	IN	by
this	DT	this
film	NN	film
is	VBZ	be
the	DT	the
ordeal	NN	ordeal
of	IN	of
watching	VBG	watch
it	PP	it
.	SENT	.
