Beers	NP	Beers
'	POS	'
screenplay	NN	screenplay
manages	VBZ	manage
to	TO	to
sustain	VB	sustain
the	DT	the
outrageous	JJ	outrageous
scenario	NN	scenario
with	IN	with
a	DT	a
string	NN	string
of	IN	of
jokes	NNS	joke
that	WDT	that
do	VBP	do
n't	RB	n't
take	VB	take
the	DT	the
underlying	VBG	underlie
goofiness	NN	goofiness
for	IN	for
granted	VBN	grant
.	SENT	.
Instead	RB	instead
,	,	,
the	DT	the
writer-director	NN	writer-director
builds	VBZ	build
on	IN	on
its	PP$	its
crass	JJ	crass
foundations	NNS	foundation
with	IN	with
constant	JJ	constant
inspired	JJ	inspired
one-liners	NNS	one-liner
.	SENT	.
