There	EX	there
are	VBP	be
two	CD	two
main	JJ	main
obstacles	NNS	obstacle
to	TO	to
enjoying	VBG	enjoy
The	DT	the
Last	JJ	last
Witch	NP	<unknown>
Hunter	NP	Hunter
.	SENT	.
One	PP	one
is	VBZ	be
your	PP$	your
ability	NN	ability
to	TO	to
buy	VB	buy
Vin	NP	Vin
Diesel	NP	Diesel
as	IN	as
an	DT	an
immortal	JJ	immortal
slayer	NN	slayer
of	IN	of
evildoers	NNS	evildoer
plying	VBG	ply
his	PP$	his
trade	NN	trade
in	IN	in
today’s	NP	<unknown>
Manhattan	NP	Manhattan
.	SENT	.
You	PP	you
also	RB	also
have	VB	have
to	TO	to
swallow	VB	swallow
a	DT	a
by-the-numbers	NNS	<unknown>
plot	NN	plot
buried	VBN	bury
under	IN	under
an	DT	an
avalanche	NN	avalanche
of	IN	of
fast-and-furious	JJ	<unknown>
but	CC	but
underwhelming	JJ	underwhelming
CGI	NP	<unknown>
effects	NNS	effect
.	SENT	.
