It	PP	it
comes	VBZ	come
across	RP	across
as	RB	as
unintentionally	RB	unintentionally
comic	JJ	comic
,	,	,
because	IN	because
Scorch	NP	<unknown>
Trials	NP	<unknown>
is	VBZ	be
basically	RB	basically
"	``	"
Fleeing	NP	<unknown>
In	IN	in
Terror	NP	<unknown>
:	:	:
The	DT	the
Movie	NN	movie
.	SENT	.
"	''	"
After	IN	after
more	JJR	more
than	IN	than
two	CD	two
straight	JJ	straight
hours	NNS	hour
of	IN	of
running	VBG	run
and	CC	and
screaming	VBG	scream
,	,	,
screaming	VBG	scream
and	CC	and
running	VBG	run
,	,	,
no	RB	no
wonder	VBP	wonder
Thomas	NP	Thomas
is	VBZ	be
tired	JJ	tired
.	SENT	.
Even	RB	even
marathoners	NNS	<unknown>
gotta	VB	gotta
rest	NN	rest
sometime	RB	sometime
.	SENT	.
