What	WP	What
Zemeckis	NP	Zemeckis
delivers	VBZ	deliver
here	RB	here
is	VBZ	be
an	DT	an
entirely	RB	entirely
different	JJ	different
brand	NN	brand
of	IN	of
spectacle	NN	spectacle
from	IN	from
that	IN	that
which	WDT	which
audiences	NNS	audience
have	VBP	have
come	VBN	come
to	TO	to
expect	VB	expect
from	IN	from
recent	JJ	recent
studio	NN	studio
tentpoles	NNS	<unknown>
,	,	,
sharing	VBG	share
a	DT	a
true	JJ	true
story	NN	story
so	RB	so
incredible	JJ	incredible
it	PP	it
literally	RB	literally
must	MD	must
be	VB	be
seen	VBN	see
to	TO	to
be	VB	be
believed	VBN	believe
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
imaginary	JJ	imaginary
feats	NNS	feat
full	JJ	full
of	IN	of
impossible	JJ	impossible
CG	NP	<unknown>
creatures	NNS	creature
.	SENT	.
