Haynes	NP	Haynes
understands	VBZ	understand
that	IN	that
swooningly	RB	swooningly
beautiful	JJ	beautiful
traditional	JJ	traditional
technique	NN	technique
bolstered	VBN	bolster
by	IN	by
thrilling	JJ	thrilling
performances	NNS	performance
creates	VBZ	create
the	DT	the
greatest	JJS	great
impact	NN	impact
.	SENT	.
He	PP	he
has	VBZ	have
made	VBN	make
a	DT	a
serious	JJ	serious
melodrama	NN	melodrama
about	IN	about
the	DT	the
geometry	NN	geometry
of	IN	of
desire	NN	desire
,	,	,
a	DT	a
dreamy	JJ	dreamy
example	NN	example
of	IN	of
heightened	JJ	heightened
reality	NN	reality
that	WDT	that
fully	RB	fully
engages	VBZ	engage
emotions	NNS	emotion
despite	IN	despite
the	DT	the
exact	JJ	exact
calculations	NNS	calculation
with	IN	with
which	WDT	which
it	PP	it
's	VBZ	have
been	VBN	be
made	VBN	make
.	SENT	.
