Buoyed	VBN	buoy
by	IN	by
a	DT	a
soundtrack	NN	soundtrack
that	WDT	that
'll	MD	will
have	VB	have
fortysomethings	NNS	<unknown>
cracking	VBG	crack
open	JJ	open
40-ounces	NNS	<unknown>
and	CC	and
recalling	VBG	recall
a	DT	a
marginally	RB	marginally
simpler	JJR	simple
,	,	,
if	IN	if
still	RB	still
chaotic	JJ	chaotic
,	,	,
time	NN	time
in	IN	in
their	PP$	their
lives	NNS	life
,	,	,
Straight	NP	Straight
Outta	NP	<unknown>
Compton	NP	Compton
's	POS	's
bark	NN	bark
is	VBZ	be
just	RB	just
as	IN	as
snarly-cool	NN	<unknown>
as	IN	as
its	PP$	its
bite	NN	bite
.	SENT	.
Take	VB	take
that	IN	that
,	,	,
Tipper	NP	<unknown>
Gore	NP	Gore
.	SENT	.
