There	EX	there
is	VBZ	be
,	,	,
in	IN	in
other	JJ	other
words	NNS	word
,	,	,
nothing	NN	nothing
new	JJ	new
in	IN	in
Hellions	NNS	hellion
that	IN	that
you	PP	you
ca	MD	ca
n't	RB	n't
get	VB	get
already	RB	already
in	IN	in
earlier	JJR	early
,	,	,
more	RBR	more
ambitious	JJ	ambitious
horror	NN	horror
films	NNS	film
.	SENT	.
But	CC	but
McDonald	NP	McDonald
delivers	VBZ	deliver
an	DT	an
effective	JJ	effective
thrice-told	NN	<unknown>
tale	NN	tale
,	,	,
and	CC	and
he	PP	he
does	VBZ	do
it	PP	it
with	IN	with
enough	JJ	enough
avant	JJ	avant
garde	NN	garde
flair	NN	flair
to	TO	to
show	VB	show
viewers	NNS	viewer
that	WDT	that
temper	VBP	temper
their	PP$	their
expectations	NNS	expectation
a	DT	a
good	JJ	good
time	NN	time
.	SENT	.
