Anchored	VBN	anchor
by	IN	by
another	DT	another
great	JJ	great
turn	NN	turn
from	IN	from
Matt	NP	Matt
Damon	NP	Damon
,	,	,
The	DT	the
Martian	NP	Martian
mixes	VBZ	mix
smarts	NNS	smart
,	,	,
laughs	NNS	laugh
,	,	,
weird	JJ	weird
character	NN	character
bits	NNS	bit
and	CC	and
tension	NN	tension
on	IN	on
a	DT	a
huge	JJ	huge
canvas	NN	canvas
.	SENT	.
The	DT	the
result	NN	result
is	VBZ	be
Scott�s	NP	<unknown>
most	RBS	most
purely	RB	purely
enjoyable	JJ	enjoyable
film	NN	film
for	IN	for
ages	NNS	age
.	SENT	.
