There	EX	there
's	VBZ	be
an	DT	an
opportunity	NN	opportunity
here	RB	here
for	IN	for
screenwriter	NN	screenwriter
Marek	NP	Marek
Posival	NP	<unknown>
and	CC	and
director	NN	director
Robert	NP	Robert
Lieberman	NP	Lieberman
to	TO	to
play	VB	play
up	RP	up
the	DT	the
squeamishness	NN	squeamishness
of	IN	of
upper-middle-class	JJ	upper-middle-class
torturers	NNS	torturer
who	WP	who
do	VBP	do
n't	RB	n't
fit	VB	fit
the	DT	the
profile	NN	profile
,	,	,
but	CC	but
they	PP	they
're	VBP	be
too	RB	too
busy	JJ	busy
tending	VBG	tend
to	TO	to
horror-thriller	NN	<unknown>
clich�s	NNS	<unknown>
.	SENT	.
