Sicario	NP	<unknown>
occasionally	RB	occasionally
seems	VBZ	seem
a	DT	a
little	RB	little
too	RB	too
impressed	VBN	impress
by	IN	by
its	PP$	its
own	JJ	own
nihilism	NN	nihilism
.	SENT	.
Still	RB	still
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
involving	VBG	involve
,	,	,
grown-up	JJ	grown-up
film	NN	film
from	IN	from
a	DT	a
director	NN	director
whose	WP$	whose
muscular	JJ	muscular
technique	NN	technique
continues	VBZ	continue
to	TO	to
impress	VB	impress
:	:	:
one	PP	one
might	MD	might
call	VB	call
it	PP	it
pulp	NN	pulp
in	IN	in
the	DT	the
same	JJ	same
manner	NN	manner
one	PP	one
would	MD	would
a	DT	a
plate	NN	plate
of	IN	of
minced	VBN	mince
meat	NN	meat
.	SENT	.
