Everest	NP	Everest
may	MD	may
disappoint	VB	disappoint
those	DT	those
looking	VBG	look
for	IN	for
a	DT	a
more	RBR	more
awe-inspiring	JJ	awe-inspiring
film	NN	film
with	IN	with
big	JJ	big
vistas	NNS	vista
and	CC	and
jaw-dropping	NN	<unknown>
stunts	NNS	stunt
and	CC	and
acts	NNS	act
of	IN	of
surreal	JJ	surreal
heroism	NN	heroism
.	SENT	.
Unlike	IN	unlike
many	JJ	many
mountain-disaster	NN	<unknown>
stories	NNS	storey
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
that	WDT	that
makes	VBZ	make
you	PP	you
never	RB	never
want	VBP	want
to	TO	to
look	VB	look
at	IN	at
a	DT	a
mountain	NN	mountain
again	RB	again
.	SENT	.
