% Ceci represente la classification de critiques de films en fonction de leur jugement.

@relation critiques
@attribute contenu string
@attribute classe {positive, mixed, negative}

@data
'colourful smart sharp delightful visual appealing ',mixed
'too dumb ribald most well here ',mixed
'sinister far perfect rare much modern ',mixed
'gruff ',mixed
'last complex aptly further stolid even criminally limited even macho entirely plausible ',mixed
'yellow now own still fine adorable ',mixed
'entire rather devastating eternal ',mixed
'crass nonsensical hard medical ringed expressly ',mixed
'most almost as much also superannuated ',mixed
'pretty well respectably Empire back ',mixed
'sporadically funny infamous mercifully ',mixed
'shaggy easily distractible consistently charming ',mixed
'ultimately inherited less not n\'t ',mixed
'no-holds-barred inevitable undimmed faceless corporate ',mixed
'consistently off ever ',mixed
'clever early standard ',mixed
'crimson gorgeous ',mixed
'Russian lethal less more most violent all instead two-fisted rough ',mixed
'pleasantly different introductory once super whole more standard ',mixed
'sumptuous pitch-black misbegotten large so closely ',mixed
'clumsy romantically nearly there not quite ',mixed
'murky long however as shadowy ',mixed
'painful ',mixed
'just there old ',mixed
'nominally satiric only sporadically effective ',mixed
'ponderous pretentious most just not much ',mixed
'',mixed
'quickly easygoing indulgent good just n\'t ',mixed
'new funny hilarious not too many ',mixed
'here n\'t very funny n\'t very sharp ',mixed
'sure well just entertaining enough slightly great cultural ultimately ',mixed
'thoughtful such slick whole bland ',mixed
'sinister n\'t n\'t much ',mixed
'not bad several pretty good ',mixed
'most promising away expository ludicrous ',mixed
'nearly so wacky grotesque down romantic ',mixed
'only more less ',mixed
'actually whole amiable colorful surprisingly low not ',mixed
'evil also most potent little about horribly horribly wrong sentient poor ',mixed
'hard almost as same long ideally distracting ',mixed
'perilous vertiginous much more ',mixed
'deftly young unlikely ',mixed
'relentlessly more much rangy ',mixed
'crimson astonishing n\'t back emotional lurid ',mixed
'intriguing real even more laudable ',mixed
'',mixed
'close appreciative enjoyably familiar inspired smart ',mixed
'strict n\'t necessary n\'t completely still occasional unintended ',mixed
'ever big ',mixed
'impressive young mostly proven little ridiculous ',mixed
'impossible popular old modern jazzy mostly tedious fleeting ',mixed
'monumental fascinating flip upcoming Prize-winning sexual Catholic instead not ',mixed
'careful not Afghan good n\'t cardboard ',mixed
'unusually young old ',mixed
'even n\'t most enduring interesting ',mixed
'valiant even never big as maybe n\'t imaginative enough ',mixed
'barely old quickly ',mixed
'not as terrifying Norwegian black still good recent ',mixed
'attractive daunting odd ',mixed
'passable else well ',mixed
'first-rate icebound strangely abstract genuine first-rate ',mixed
'as there soulful pensive not much long ',mixed
'twisty juicy compelling staid political thematic as satisfyingly ',mixed
