Carol	NP	Carol
is	VBZ	be
gorgeous	JJ	gorgeous
,	,	,
gently	RB	gently
groundbreaking	JJ	groundbreaking
,	,	,
and	CC	and
might	MD	might
be	VB	be
the	DT	the
saddest	JJS	sad
thing	NN	thing
you�ll	NN	<unknown>
ever	RB	ever
see	VB	see
.	SENT	.
More	JJR	more
than	IN	than
hugely	RB	hugely
accomplished	VBN	accomplish
cinema	NN	cinema
,	,	,
it�s	NN	<unknown>
an	DT	an
exquisite	JJ	exquisite
work	NN	work
of	IN	of
American	JJ	American
art	NN	art
,	,	,
rippling	VBG	ripple
with	IN	with
a	DT	a
very	RB	very
specific	JJ	specific
mid-century	NN	mid-century
melancholy	NN	melancholy
,	,	,
understanding	VBG	understand
love	NN	love
as	IN	as
the	DT	the
riskiest	JJS	risky
but	CC	but
most	RBS	most
necessary	JJ	necessary
gamble	NN	gamble
in	IN	in
anyone�s	NN	<unknown>
experience	NN	experience
.	SENT	.
