There	EX	there
's	VBZ	be
some	DT	some
nice	JJ	nice
early-60s	NN	<unknown>
period	NN	period
production	NN	production
design	NN	design
and	CC	and
the	DT	the
whole	JJ	whole
thing	NN	thing
moves	NNS	move
along	IN	along
smoothly	RB	smoothly
,	,	,
if	IN	if
unhurriedly	RB	unhurriedly
.	SENT	.
But	CC	but
it	PP	it
never	RB	never
delivers	VBZ	deliver
anything	NN	anything
like	IN	like
the	DT	the
punch	NN	punch
of	IN	of
Tom	NP	Tom
Cruise	NP	Cruise
's	POS	's
M:I	NP	<unknown>
adventures	NNS	adventure
,	,	,
nor	CC	nor
the	DT	the
wit	NN	wit
and	CC	and
distinctiveness	NN	distinctiveness
of	IN	of
007	CD	@card@
.	SENT	.
