Sicario	NP	<unknown>
is	VBZ	be
a	DT	a
tentacled	JJ	tentacled
drug	NN	drug
cartel	NN	cartel
thriller	NN	thriller
grabbing	VBG	grab
viewers	NNS	viewer
by	IN	by
the	DT	the
throat	NN	throat
and	CC	and
squeezing	VBG	squeeze
for	IN	for
two	CD	two
hours	NNS	hour
.	SENT	.
This	DT	this
movie	NN	movie
continually	RB	continually
defies	VBZ	defy
the	DT	the
conventions	NNS	convention
of	IN	of
its	PP$	its
genre	NN	genre
,	,	,
from	IN	from
its	PP$	its
hero	NN	hero
's	POS	's
gender	NN	gender
to	TO	to
the	DT	the
vagueness	NN	vagueness
of	IN	of
its	PP$	its
morality	NN	morality
.	SENT	.
